Date,^GSPC,volume,^GSPC_ma_10,^GSPC_mstd_10,^GSPC_mskew_10,^GSPC_mkurt_10,^GSPC_ma_20,^GSPC_mstd_20,^GSPC_mskew_20,^GSPC_mkurt_20,^GSPC_ma_50,^GSPC_mstd_50,^GSPC_mskew_50,^GSPC_mkurt_50,^GSPC_ma_100,^GSPC_mstd_100,^GSPC_mskew_100,^GSPC_mkurt_100,^GSPC_ma_200,^GSPC_mstd_200,^GSPC_mskew_200,^GSPC_mkurt_200,^GSPC_from_peak_10,^GSPC_from_bottom_10,^GSPC_from_peak_20,^GSPC_from_bottom_20,^GSPC_from_peak_50,^GSPC_from_bottom_50,^GSPC_from_peak_100,^GSPC_from_bottom_100,^GSPC_from_peak_200,^GSPC_from_bottom_200,^GSPC_ma_gap_10_20,^GSPC_ma_gap_10_50,^GSPC_ma_gap_10_100,^GSPC_ma_gap_10_200,^GSPC_ma_gap_20_50,^GSPC_ma_gap_20_100,^GSPC_ma_gap_20_200,^GSPC_ma_gap_50_100,^GSPC_ma_gap_50_200,^GSPC_ma_gap_100_200,^GSPC_RSI_7,^GSPC_RSI_14,^GSPC_RSI_21,^GSPC_MACD,^GSPC_MACD_signal,^GSPC_MACD_hist,^GSPC_ATR_7,^GSPC_ATR_14,^GSPC_ATR_21,vix,cluster
2015-10-19,0.0002705089438730595,3287320000,0.002318599076267509,0.006749061246778787,0.4708006933205348,-0.4028178538233697,0.001667143470407921,0.01062911148144556,-0.5239007103512187,1.2908891878947488,-0.00042723664550841067,0.014888138116314849,-0.26205289665200565,0.8985938385969254,-0.0004195153704650401,0.011548730860273831,-0.31357123284681865,2.40914544098083,-5.9973242720298216e-05,0.00987314871855092,-0.29657227846168777,2.503929173145628,0.0,0.026780680106818385,0.0,0.07762430849246675,-0.03408866790744564,0.08517761142957077,-0.045477013384441656,0.08517761142957077,-0.04666977209186693,0.08517761142957077,0.000651455605859588,0.0027458357217759197,0.002738114446732549,0.0023785723189878073,0.0020943801159163315,0.002086658840872961,0.0017271167131282191,-7.721275043370542e-06,-0.00036726340278811243,-0.0003595421277447419,41.94100928971376,49.65065749980594,53.41211888663007,0.0009538915264626204,0.001194570393687422,-0.00024067886722480155,0.0047356984726913695,0.007623864462278864,0.007466810833469851,-0.00466205633754711,2
2015-10-20,-0.0014221010558937615,3331500000,0.0025358579050924627,0.00657015383689085,0.46188884545796255,-0.1853917492635238,0.0022157849185821484,0.01013686232715191,-0.6301274272488402,2.177156250639444,-0.0007102153792667877,0.01476698776952337,-0.22369637611547347,0.9989013424495368,-0.0003703512291830012,0.011533733646847203,-0.32645869701459324,2.4427556171238463,2.5152319663169333e-05,0.009786835987996826,-0.2971985825723419,2.6478688075531274,-0.0014221010558937621,0.018152020613031408,-0.0014221010558937621,0.076202207436573,-0.034683506036752715,0.08375551037367701,-0.04689911444033541,0.08375551037367701,-0.04809187314776069,0.08375551037367701,0.0003200729865103142,0.0032460732843592505,0.002906209134275464,0.0025107055854292934,0.0029260002978489363,0.0025861361477651497,0.002190632598918979,-0.00033986415008378654,-0.0007353676989299571,-0.0003955035488461705,47.688037855555734,41.64944827897457,48.66337647262114,0.0005443332632149892,0.0010645229675929355,-0.0005201897043779463,0.004835305972031141,0.0063757360660166235,0.007317606501194663,0.05012441774089169,2
2015-10-21,-0.005842448911134253,3627790000,0.0011512610282237614,0.006746455083390153,0.8682958341689175,0.44194854921355947,0.0020261996845051334,0.010255618714727603,-0.5710206462646699,1.8873440204101424,-0.0006350030638858273,0.014730301041020208,-0.2375497404777549,1.0431800306700314,-0.00044934915328582027,0.0115439871339584,-0.30583433395236265,2.41461934597736,4.060634856099892e-05,0.009775052209803507,-0.30025630640693435,2.674313992495089,-0.007264549967028015,0.012309571701897153,-0.007264549967028015,0.07035975852543874,-0.040525954947886966,0.07791306146254276,-0.052741563351469664,0.07791306146254276,-0.05393432205889495,0.07791306146254276,-0.0008749386562813719,0.0017862640921095887,0.0016006101815095818,0.0011106546796627625,0.002661202748390961,0.0024755488377909535,0.0019855933359441344,-0.000185653910600007,-0.0006756094124468262,-0.0004899555018468192,42.925596690359974,46.420443648317395,51.55217450645253,-0.0001353692877613422,0.0008245445165220801,-0.0009599138042834223,0.005487846605431343,0.006652201082644986,0.007005583591278279,0.05856839983606351,2
2015-10-22,0.016490847012594123,4430850000,0.001922367715027325,0.008033225758402018,1.0012094364802708,0.050472763824267526,0.0030191746287001617,0.010659263832179813,-0.6663278285345002,1.5862508679114393,-0.00032417819639823876,0.014927074310934764,-0.261280809484734,0.8848361007726873,-0.0002743496315064009,0.011667400276516755,-0.3106013448325164,2.2509201302248125,6.524690439958802e-05,0.00981039009606289,-0.28892640635337785,2.626353268949823,0.0,0.028800418714491276,0.0,0.08685060553803287,-0.024035107935292847,0.09440390847513688,-0.03625071633887554,0.09440390847513688,-0.03744347504630083,0.09440390847513688,-0.0010968069136728367,0.002246545911425564,0.002196717346533726,0.0018571208106277371,0.0033433528250984006,0.003293524260206563,0.002953927724300574,-4.982856489183787e-05,-0.0003894251007978268,-0.0003395965359059889,68.08949470580423,50.95478397947071,54.156126762044124,0.0011152163575291105,0.0008826788847234862,0.0002325374728056243,0.006865278508640922,0.0068148477966584586,0.0076932075333259065,-0.14471436374890906,0
2015-10-23,0.010969953969042788,4108460000,0.002946878255880068,0.00850309088367496,0.5576851329332021,-1.1565454127091586,0.003590967417213328,0.01076863964915286,-0.7978789834916551,1.587947966175612,-7.925859964975888e-05,0.015011364370995239,-0.2988358233420801,0.8207674397308462,-0.00018581638651353298,0.011719201398691254,-0.3206106970976636,2.1758592563979655,3.144583360902349e-05,0.00976074120502704,-0.30587439713277387,2.6907552548002287,0.0,0.03977037268353406,0.0,0.09782055950707565,-0.013065153966250059,0.10537386244417966,-0.025280762369832756,0.10537386244417966,-0.026473521077258037,0.10537386244417966,-0.0006440891613332602,0.0030261368555298267,0.003132694642393601,0.0029154324222710444,0.003670226016863087,0.0037767838037268612,0.0035595215836043046,0.0001065577868637741,-0.00011070443325878237,-0.0002172622201225565,61.55729207423945,47.039979291703936,53.15458199323925,0.0016418977871738988,0.0010345226652135689,0.0006073751219603299,0.007757067516798584,0.006303802114554218,0.008055174299884778,0.0006918180099253128,0
2015-10-26,-0.0019149330011001104,3385800000,0.002627918508036773,0.00863163784995009,0.6479708904723676,-1.1858796954798605,0.004795281325298778,0.008363199036924611,0.38717358208129315,-1.2024398404395844,-0.00019564390515894385,0.015002404828281262,-0.27556493113720415,0.8205673020382129,-0.0001183600943735234,0.011689303559608262,-0.33684843439423684,2.2348961475925657,6.406777933891687e-05,0.00974317525543033,-0.3143826444084491,2.7335126459293475,-0.0019149330011001102,0.037855439682433954,-0.0019149330011001102,0.09467353259299383,-0.014980086967350169,0.10345892944307955,-0.027195695370932867,0.10345892944307955,-0.028388454078358147,0.10345892944307955,-0.0021673628172620045,0.002823562413195717,0.0027462786024102966,0.0025638507286978563,0.004990925230457722,0.004913641419672301,0.00473121354595986,-7.728381078542045e-05,-0.0002597116844978607,-0.00018242787371244027,36.41788532137272,50.749756292550096,49.69461738138639,0.0010079746157768041,0.001029213055326216,-2.123843954941187e-05,0.005924407752476446,0.0061838195186225626,0.00812417578559333,0.0558127980773523,0
2015-10-27,-0.00255738586508774,4216880000,0.0030570622905407067,0.00820422413316651,0.7372505588254653,-1.1039815317133268,0.004605807336395306,0.008490137519563786,0.41080799674349955,-1.2594959344551993,-0.0003507494566487576,0.014985584973570368,-0.24522228868753554,0.8265002345131286,-0.00012956180069707544,0.011691116749057913,-0.3338374461164481,2.2302721442559132,9.191393423083061e-05,0.009727594529437425,-0.3216395069230995,2.7717596051103284,-0.00447231886618785,0.035298053817346214,-0.00447231886618785,0.07322024812434097,-0.014908489896804808,0.10090154357799182,-0.029753081236020607,0.10090154357799182,-0.030945839943445887,0.10090154357799182,-0.001548745045854599,0.003407811747189464,0.003186624091237782,0.002965148356309876,0.0049565567930440636,0.004735369137092381,0.004513893402164475,-0.00022118765595168218,-0.00044266339087958823,-0.00022147573492790605,43.12775966844598,44.77516033524331,55.5199447198066,0.000448574471078907,0.0009130853384767543,-0.00046451086739784735,0.005638311251246549,0.005794809947732203,0.007007803152368504,0.009114668707075661,0
2015-10-28,0.011770488488143476,4698110000,0.00470685423054897,0.008123292777039638,0.27990533602583917,-1.7154055324480544,0.004249536830624223,0.007993924143529306,0.3488584338080899,-1.2691474277198762,-6.276002817322611e-05,0.015078980679963307,-0.2892692784694027,0.7589678852459181,5.309868756741474e-05,0.011733267754322995,-0.3655135711110448,2.18676786651298,0.0001636758038506296,0.009760653995576879,-0.3318632016624487,2.7135515693998458,0.0,0.03475897060359254,0.0,0.08301879793414728,0.0,0.1126720320661353,-0.01798259274787713,0.1126720320661353,-0.01917535145530241,0.1126720320661353,0.0004573173999247466,0.004769614258722196,0.0046537555429815546,0.00454317842669834,0.004312296858797449,0.004196438143056808,0.004085861026773593,-0.00011585871574064084,-0.00022643583202385572,-0.00011057711628321485,59.30082526488723,51.304664259338516,52.64186130632023,0.0011481503805211772,0.000960098346885639,0.00018805203363553822,0.007281165471856608,0.0060084319722739895,0.007509631465471445,-0.07395844963714077,0
2015-10-29,-0.00044987538066072313,4008940000,0.0031875115573473875,0.0074286496415772695,0.7558502186217315,-0.789230437676794,0.004128446127674329,0.008048397694928799,0.38166168109757315,-1.2955412785744114,9.402519240550167e-05,0.01503238325412522,-0.32107847668186756,0.8199238296666393,4.441727857077986e-05,0.011733316006650972,-0.3632452025609191,2.1855581675117604,0.00019057657178720423,0.009751461721573132,-0.33998472437265104,2.7383401107620005,-0.0004498753806607223,0.03430909522293182,-0.0004498753806607223,0.06835512953708105,-0.0004498753806607223,0.11222215668547457,-0.018432468128537854,0.11222215668547457,-0.019625226835963135,0.11222215668547457,-0.0009409345703269411,0.0030934863649418856,0.0031430942787766076,0.002996934985560183,0.004034420935268827,0.004084028849103549,0.003937869555887125,4.960791383472181e-05,-9.655137938170256e-05,-0.00014615929321642437,50.6718895172891,49.50551033992947,45.0141491284208,0.0007083229880653994,0.0009097432751215912,-0.00020142028705619176,0.007142276089680459,0.0059887910308558,0.006631249407237901,0.019350965747437013,2
2015-10-30,-0.004821481688425431,4256200000,0.002249357251135142,0.007818228445722799,0.9507226925469285,-0.658590669216799,0.0031766823924327817,0.007917426833297965,0.598309963709542,-0.9795181351150558,0.0004241147677199162,0.014730610386134628,-0.34668418504461135,1.0864551275257188,-0.0001235024558386185,0.011680954784622792,-0.33585705925425813,2.24808029410667,0.0002129236783679148,0.009734730997247715,-0.3446999092698269,2.7771065302602493,-0.005271357069086154,0.029487613534506383,-0.005271357069086154,0.04900374367429675,-0.005271357069086154,0.10740067499704914,-0.023253949816963285,0.10740067499704914,-0.024446708524388565,0.10740067499704914,-0.0009273251412976395,0.001825242483415226,0.0023728597069737605,0.0020364335727672276,0.0027525676247128657,0.0033001848482714,0.002963758714064867,0.0005476172235585347,0.0002111910893520014,-0.0003364261342065333,50.70604967490161,47.51387225788687,48.12806394191092,6.924693207814234e-06,0.0007291795587388357,-0.0007222548655310215,0.006996423629293484,0.006242135117362414,0.006766941931527819,0.03099979012440833,2
